rise_delay,fall_delay,rise_slew,fall_slew
3.969972e-11,6.665792e-11,7.524554e-11,1.268155e-10 
4.845507e-10,9.26501e-10,8.433391e-10,1.780978e-09 
6.051834e-11,2.836955e-10,1.801611e-10,5.268137e-10 
9.956071e-10,3.575132e-09,1.709599e-09,6.623942e-09 
2.732004e-10,5.559259e-10,4.078886e-10,1.092184e-09 
4.178062e-11,8.421649e-11,7.792599e-11,1.565442e-10 
3.574362e-10,6.33902e-10,6.10214e-10,1.209559e-09 
4.368813e-10,6.238134e-10,7.272352e-10,1.111391e-09 
4.707535e-10,2.258456e-09,1.242975e-09,4.130585e-09 
1.608424e-10,2.932676e-10,2.915126e-10,5.037475e-10 
1.197942e-10,3.221008e-10,2.413646e-10,4.978193e-10 
1.010727e-09,3.219204e-09,1.555161e-09,6.024153e-09 
4.029551e-10,8.281489e-10,7.642187e-10,1.550498e-09 
2.783523e-10,5.018077e-10,5.042002e-10,8.542312e-10 
7.901932e-10,3.243388e-09,1.330245e-09,6.03355e-09 
8.215855e-10,3.556772e-09,1.420195e-09,6.671741e-09 
8.962404e-10,5.105603e-09,0,0 
8.386669e-10,3.061156e-09,1.503836e-09,5.766327e-09 
3.089591e-10,4.669153e-10,6.294442e-10,9.222762e-10 
4.976544e-10,8.977115e-10,7.229798e-10,1.732384e-09 
5.560127e-10,1.494304e-09,9.965369e-10,3.022701e-09 
1.344341e-10,2.044731e-10,1.241997e-10,2.68938e-10 
4.215768e-11,1.099952e-10,8.064948e-11,1.534125e-10 
1.786104e-10,2.456598e-10,2.801506e-10,4.894689e-10 
7.756415e-10,1.648944e-09,1.157848e-09,3.233867e-09 
6.347045e-11,1.455923e-10,1.091819e-10,2.641755e-10 
4.592635e-10,1.267345e-09,8.742408e-10,2.242881e-09 
9.974697e-10,2.922357e-09,1.607573e-09,5.713785e-09 
1.292331e-10,2.570241e-10,2.606186e-10,4.893943e-10 
7.697062e-11,1.702075e-10,1.286149e-10,2.632456e-10 
3.067663e-10,5.384031e-10,6.298066e-10,1.082079e-09 
3.762006e-10,1.203244e-09,5.457983e-10,2.235694e-09 
3.738177e-10,8.561239e-10,6.060092e-10,1.682962e-09 
1.191604e-10,2.727431e-10,2.362675e-10,4.120942e-10 
1.135086e-10,2.216673e-10,2.303059e-10,4.038789e-10 
4.09609e-10,1.004325e-09,5.210583e-10,1.768037e-09 
1.590307e-10,2.373838e-10,1.535242e-10,2.976495e-10 
1.213061e-09,3.402917e-09,1.998976e-09,6.519652e-09 
1.126766e-10,1.665744e-10,2.006722e-10,3.378643e-10 
2.272565e-10,5.056639e-10,4.581731e-10,9.603396e-10 
1.049498e-10,1.466735e-10,1.336113e-10,2.053222e-10 
1.142455e-09,3.384042e-09,1.907629e-09,6.524322e-09 
4.962208e-11,1.460545e-10,9.659799e-11,2.037956e-10 
-5.358664e-11,6.065337e-11,6.933355e-11,1.154502e-10 
1.509392e-10,2.697361e-10,2.756441e-10,5.288463e-10 
1.064499e-10,2.020554e-10,2.139816e-10,3.674242e-10 
7.074274e-11,2.232846e-10,1.300157e-10,2.711473e-10 
1.211352e-09,2.824361e-09,1.791394e-09,5.216074e-09 
3.626304e-11,1.81651e-10,1.067262e-10,3.39408e-10 
7.355441e-10,1.473228e-09,1.106567e-09,2.924148e-09 
5.356513e-11,5.680178e-10,4.678445e-10,1.021775e-09 
-1.034885e-11,1.037329e-10,7.673493e-11,1.569803e-10 
4.71886e-11,8.857002e-11,8.945528e-11,1.57943e-10 
5.387093e-11,1.618845e-10,1.041436e-10,2.211613e-10 
1.284489e-09,5.542341e-09,0,0 
1.256234e-10,2.185277e-10,1.743924e-10,4.14858e-10 
6.363266e-12,8.195818e-11,5.085369e-11,1.269125e-10 
7.546938e-10,2.134786e-09,1.278825e-09,4.294493e-09 
7.783242e-10,1.913287e-09,1.119973e-09,3.46891e-09 
7.060215e-10,2.141291e-09,1.292534e-09,4.333589e-09 
5.600105e-10,1.579969e-09,8.744071e-10,3.115691e-09 
9.619456e-11,1.702219e-10,1.29475e-10,2.632332e-10 
1.432422e-10,1.984138e-10,2.112978e-10,3.216984e-10 
1.493141e-10,2.125036e-10,1.721318e-10,3.841517e-10 
9.104388e-10,3.603739e-09,1.773289e-09,7.08626e-09 
1.240771e-09,3.108713e-09,1.873476e-09,5.772675e-09 
1.073005e-09,3.624192e-09,1.707037e-09,6.668813e-09 
1.285252e-10,6.178278e-10,2.105843e-10,1.115085e-09 
